COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"10013","屏東縣","10013080","九如鄉",8013,21470,10937,10533,"114Y06M"
"10013","屏東縣","10013090","里港鄉",9043,25047,12622,12425,"114Y06M"
"10013","屏東縣","10013100","鹽埔鄉",8521,23323,12109,11214,"114Y06M"
"10013","屏東縣","10013110","高樹鄉",9409,22102,11640,10462,"114Y06M"
"10013","屏東縣","10013120","萬巒鄉",7009,18809,9815,8994,"114Y06M"
"10013","屏東縣","10013130","內埔鄉",21258,52853,26923,25930,"114Y06M"
"10013","屏東縣","10013140","竹田鄉",5999,15472,8252,7220,"114Y06M"
"10013","屏東縣","10013150","新埤鄉",3596,9098,4798,4300,"114Y06M"
"10013","屏東縣","10013160","枋寮鄉",9037,22507,11612,10895,"114Y06M"
"10013","屏東縣","10013170","新園鄉",12467,31925,16500,15425,"114Y06M"
"10013","屏東縣","10013180","崁頂鄉",4772,14498,7267,7231,"114Y06M"
"10013","屏東縣","10013190","林邊鄉",6687,15950,8061,7889,"114Y06M"
"10013","屏東縣","10013200","南州鄉",3981,9650,4931,4719,"114Y06M"
"10013","屏東縣","10013210","佳冬鄉",7191,17419,8965,8454,"114Y06M"
"10013","屏東縣","10013220","琉球鄉",5170,12074,6540,5534,"114Y06M"
"10013","屏東縣","10013230","車城鄉",3560,7774,4145,3629,"114Y06M"
"10013","屏東縣","10013240","滿州鄉",2978,6965,3773,3192,"114Y06M"
"10013","屏東縣","10013250","枋山鄉",2036,4930,2557,2373,"114Y06M"
"10013","屏東縣","10013260","三地門鄉",2464,7610,3800,3810,"114Y06M"
"10013","屏東縣","10013270","霧臺鄉",1115,3176,1607,1569,"114Y06M"
"10013","屏東縣","10013280","瑪家鄉",2273,6657,3336,3321,"114Y06M"
"10013","屏東縣","10013290","泰武鄉",1520,5196,2658,2538,"114Y06M"
"10013","屏東縣","10013300","來義鄉",2352,7295,3625,3670,"114Y06M"
"10013","屏東縣","10013310","春日鄉",1522,4831,2449,2382,"114Y06M"
"10013","屏東縣","10013320","獅子鄉",1668,4845,2474,2371,"114Y06M"
"10013","屏東縣","10013330","牡丹鄉",2086,4688,2321,2367,"114Y06M"
"10014","臺東縣","10014010","臺東市",43426,102964,50739,52225,"114Y06M"
"10014","臺東縣","10014020","成功鎮",5544,12862,6743,6119,"114Y06M"
"10014","臺東縣","10014030","關山鎮",3234,7822,4028,3794,"114Y06M"
"10014","臺東縣","10014040","卑南鄉",7059,16388,8513,7875,"114Y06M"
"10014","臺東縣","10014050","鹿野鄉",3051,6971,3686,3285,"114Y06M"
"10014","臺東縣","10014060","池上鄉",3194,7610,3886,3724,"114Y06M"
"10014","臺東縣","10014070","東河鄉",3674,7735,4211,3524,"114Y06M"
"10014","臺東縣","10014080","長濱鄉",2947,6522,3619,2903,"114Y06M"
"10014","臺東縣","10014090","太麻里鄉",4904,10432,5501,4931,"114Y06M"
"10014","臺東縣","10014100","大武鄉",2501,5420,2831,2589,"114Y06M"
"10014","臺東縣","10014110","綠島鄉",1289,4306,2327,1979,"114Y06M"
"10014","臺東縣","10014120","海端鄉",1137,4331,2246,2085,"114Y06M"
"10014","臺東縣","10014130","延平鄉",1089,3556,1839,1717,"114Y06M"
"10014","臺東縣","10014140","金峰鄉",1229,3672,1843,1829,"114Y06M"
"10014","臺東縣","10014150","達仁鄉",1448,3402,1828,1574,"114Y06M"
"10014","臺東縣","10014160","蘭嶼鄉",2021,5238,2633,2605,"114Y06M"
"10015","花蓮縣","10015010","花蓮市",43470,97538,46554,50984,"114Y06M"
"10015","花蓮縣","10015020","鳳林鎮",4418,10199,5294,4905,"114Y06M"
"10015","花蓮縣","10015030","玉里鎮",9140,21431,11223,10208,"114Y06M"
"10015","花蓮縣","10015040","新城鄉",8785,20409,10277,10132,"114Y06M"
"10015","花蓮縣","10015050","吉安鄉",35056,83188,41257,41931,"114Y06M"
"10015","花蓮縣","10015060","壽豐鄉",7657,16777,8853,7924,"114Y06M"
"10015","花蓮縣","10015070","光復鄉",5019,11413,6012,5401,"114Y06M"
